A_lat,A_long,A_locality,B_lat,B_long,B_locality,month,weekday,hour,car_distance,pt_distance,car_time,pt_time
45.44492228202989,9.170468032588785,Moncucco,45.51016385281359,9.139954741938942,Quarto Oggiaro,May,Thursday,14,9298,11039,1687,3851
45.48254610485867,9.192460654967173,GARIBALDI REPUBBLICA,45.431539797334594,9.256539946247623,Triulzo Superiore,February,Sunday,20,11134,9857,1241,2201
45.46873313983506,9.116778137743983,Quarto Cagnino,45.46409688742373,9.170979389186595,Magenta - San Vittore,February,Thursday,9,5881,6775,1121,2270
45.441114630168244,9.247906196271114,Mecenate,45.500011776383886,9.175436179864898,Dergano,February,Thursday,20,11764,13522,1818,4083
45.50444050909516,9.118334461752998,major cemetery of Milan,45.48818941888015,9.212711729790207,Loreto,August,Saturday,14,10265,13636,1277,3311
45.452567864556485,9.235882113728382,Ortomercato,45.49108236232427,9.234399363820554,Casoretto,April,Wednesday,5,9422,6425,866,3792
45.42309894321344,9.18529230131118,Chiesa Rossa,45.464421620656395,9.129056365149577,Bande Nere,November,Friday,1,8965,8626,1074,5778
45.479190908562394,9.182634729623022,Milano Area C,45.43210407563073,9.227215822891463,Nosedo,August,Thursday,17,8774,10309,1945,3053
45.47410894655945,9.188198305305727,Milano Area C,45.5068358883982,9.146787309718,Villapizzone,April,Thursday,7,6523,5862,1022,3130
45.42838621430956,9.229560217738618,Nosedo,45.44150217179059,9.151246096192663,San Cristoforo,May,Tuesday,0,7243,7341,820,3723
45.45642918419139,9.159885543118053,Tortona,45.450241148763524,9.122207041418797,Lorenteggio,November,Monday,1,4768,5611,651,3957
45.497918616832656,9.142351975917043,Boldinasco,45.46524156280274,9.14261326885797,Bande Nere,February,Friday,3,5333,4551,716,4290
45.44951741732129,9.175904260892482,Zona Navigli,45.426428581764284,9.18827356294383,Stadera,October,Sunday,16,4599,3988,676,3246
45.4983529867775,9.125409916850991,Boldinasco,45.50354083518949,9.250670902206744,Cimiano,December,Saturday,8,22460,19098,1210,4602
45.484031475677405,9.177600749999934,Porta Volta,45.46920447302181,9.249543330662874,Cavriano,May,Thursday,10,7047,8693,1350,3358
45.43066485950804,9.187947660898093,Stadera,45.49619121844279,9.217179575031045,Greco,June,Thursday,8,9663,13060,1964,4468
